Tiempo	Señal
t/ms	U/V

0.000	6.469
0.023	9.420
0.045	10.448
0.068	9.857
0.091	8.507
0.113	7.374
0.136	7.098
0.159	7.728
0.181	8.772
0.204	9.534
0.227	9.529
0.249	8.762
0.272	7.728
0.295	7.121
0.317	7.419
0.340	8.560
0.363	9.893
0.385	10.445
0.408	9.371
0.431	6.385
0.454	1.935
0.476	-2.952
0.499	-7.096
0.522	-9.651
0.544	-10.423
0.567	-9.885
0.590	-8.880
0.612	-8.197
0.635	-8.210
0.658	-8.775
0.680	-9.406
0.703	-9.615
0.726	-9.234
0.748	-8.516
0.771	-7.986
0.794	-8.096
0.816	-8.907
0.839	-9.955
0.862	-10.414
0.884	-9.467
0.907	-6.731
0.930	-2.494
0.952	2.349
0.975	6.648
0.998	9.471
1.020	10.479
1.043	10.021
1.066	8.908
1.088	8.006
1.111	7.832
1.134	8.364
1.156	9.149
1.179	9.625
1.202	9.476
1.224	8.826
1.247	8.158
1.270	8.006
1.293	8.592
1.315	9.611
1.338	10.303
1.361	9.790
1.383	7.516
1.406	3.575
1.429	-1.259
1.451	-5.820
1.474	-9.036
1.497	-10.373
1.519	-10.035
1.542	-8.810
1.565	-7.671
1.587	-7.305
1.610	-7.829
1.633	-8.811
1.655	-9.573
1.678	-9.611
1.701	-8.892
1.723	-7.874
1.746	-7.244
1.769	-7.493
1.791	-8.588
1.814	-9.901
1.837	-10.460
1.859	-9.407
1.882	-6.434
1.905	-1.974
1.927	2.943
1.950	7.121
1.973	9.695
1.995	10.463
2.018	9.906
2.041	8.884
2.063	8.203
2.086	8.241
2.109	8.841
2.132	9.496
2.154	9.706
2.177	9.300
2.200	8.549
2.222	7.996
2.245	8.109
2.268	8.945
2.290	10.021
2.313	10.489
2.336	9.521
2.358	6.742
2.381	2.464
2.404	-2.395
2.426	-6.675
2.449	-9.461
2.472	-10.443
2.494	-9.998
2.517	-8.945
2.540	-8.127
2.562	-8.018
2.585	-8.561
2.608	-9.295
2.630	-9.687
2.653	-9.481
2.676	-8.851
2.698	-8.293
2.721	-8.297
2.744	-9.000
2.766	-10.008
2.789	-10.514
2.812	-9.665
2.834	-7.004
2.857	-2.758
2.880	2.187
2.902	6.625
2.925	9.529
2.948	10.481
2.971	9.813
2.993	8.411
3.016	7.266
3.039	7.018
3.061	7.693
3.084	8.777
3.107	9.554
3.129	9.534
3.152	8.735
3.175	7.671
3.197	7.053
3.220	7.366
3.243	8.538
3.265	9.902
3.288	10.468
3.311	9.388
3.333	6.381
3.356	1.911
3.379	-2.983
3.401	-7.115
3.424	-9.645
3.447	-10.393
3.469	-9.845
3.492	-8.851
3.515	-8.192
3.537	-8.229
3.560	-8.805
3.583	-9.425
3.605	-9.611
3.628	-9.204
3.651	-8.475
3.673	-7.952
3.696	-8.082
3.719	-8.914
3.741	-9.971
3.764	-10.419
3.787	-9.448
3.810	-6.689
3.832	-2.444
3.855	2.386
3.878	6.657
3.900	9.452
3.923	10.448
3.946	10.000
3.968	8.916
3.991	8.047
4.014	7.890
4.036	8.415
4.059	9.172
4.082	9.615
4.104	9.449
4.127	8.810
4.150	8.178
4.172	8.070
4.195	8.681
4.218	9.688
4.240	10.324
4.263	9.725
4.286	7.364
4.308	3.364
4.331	-1.480
4.354	-6.001
4.376	-9.144
4.399	-10.402
4.422	-10.000
4.444	-8.743
4.467	-7.602
4.490	-7.252
4.512	-7.795
4.535	-8.789
4.558	-9.551
4.580	-9.582
4.603	-8.853
4.626	-7.831
4.649	-7.203
4.671	-7.458
4.694	-8.559
4.717	-9.877
4.739	-10.438
4.762	-9.386
4.785	-6.414
4.807	-1.957
4.830	2.958
4.853	7.135
4.875	9.710
4.898	10.480
4.921	9.922
4.943	8.896
4.966	8.207
4.989	8.235
5.011	8.828
5.034	9.481
5.057	9.693
5.079	9.290
5.102	8.539
5.125	7.982
5.147	8.087
5.170	8.914
5.193	9.988
5.215	10.459
5.238	9.501
5.261	6.734
5.283	2.464
5.306	-2.396
5.329	-6.684
5.351	-9.479
5.374	-10.466
5.397	-10.018
5.420	-8.954
5.442	-8.122
5.465	-8.005
5.488	-8.548
5.510	-9.290
5.533	-9.692
5.556	-9.488
5.578	-8.848
5.601	-8.269
5.624	-8.250
5.646	-8.939
5.669	-9.953
5.692	-10.487
5.714	-9.681
5.737	-7.064
5.760	-2.846
5.782	2.097
5.805	6.555
5.828	9.496
5.850	10.487
5.873	9.849
5.896	8.460
5.918	7.314
5.941	7.057
5.964	7.722
5.986	8.800
6.009	9.575
6.032	9.557
6.054	8.758
6.077	7.693
6.100	7.072
6.122	7.382
6.145	8.553
6.168	9.916
6.190	10.480
6.213	9.394
6.236	6.378
6.259	1.898
6.281	-3.003
6.304	-7.136
6.327	-9.661
6.349	-10.404
6.372	-9.854
6.395	-8.864
6.417	-8.214
6.440	-8.261
6.463	-8.841
6.485	-9.459
6.508	-9.634
6.531	-9.217
6.553	-8.482
6.576	-7.962
6.599	-8.104
6.621	-8.948
6.644	-10.008
6.667	-10.446
6.689	-9.455
6.712	-6.674
6.735	-2.415
6.757	2.414
6.780	6.671
6.803	9.449
6.825	10.439
6.848	10.002
6.871	8.946
6.893	8.107
6.916	7.968
6.939	8.487
