Tiempo	Señal
t/ms	U/V

0.000	8.745
0.023	8.751
0.045	8.735
0.068	8.741
0.091	8.765
0.113	8.731
0.136	8.760
0.159	8.721
0.181	8.770
0.204	8.711
0.227	8.770
0.249	8.721
0.272	8.755
0.295	8.741
0.317	8.750
0.340	8.741
0.363	8.745
0.385	8.736
0.408	8.745
0.431	8.731
0.454	8.750
0.476	-8.763
0.499	-8.759
0.522	-8.808
0.544	-8.749
0.567	-8.808
0.590	-8.759
0.612	-8.788
0.635	-8.769
0.658	-8.768
0.680	-8.774
0.703	-8.783
0.726	-8.764
0.748	-8.773
0.771	-8.759
0.794	-8.798
0.816	-8.754
0.839	-8.783
0.862	-8.764
0.884	-8.803
0.907	-8.749
0.930	-8.803
0.952	8.740
0.975	8.721
0.998	8.760
1.020	8.751
1.043	8.745
1.066	8.746
1.088	8.755
1.111	8.736
1.134	8.760
1.156	8.726
1.179	8.760
1.202	8.711
1.224	8.765
1.247	8.721
1.270	8.760
1.293	8.731
1.315	8.760
1.338	8.726
1.361	8.755
1.383	8.741
1.406	8.745
1.429	-5.728
1.451	-8.759
1.474	-8.798
1.497	-8.754
1.519	-8.798
1.542	-8.754
1.565	-8.808
1.587	-8.749
1.610	-8.798
1.633	-8.754
1.655	-8.783
1.678	-8.779
1.701	-8.778
1.723	-8.774
1.746	-8.778
1.769	-8.769
1.791	-8.783
1.814	-8.754
1.837	-8.793
1.859	-8.744
1.882	-8.808
1.905	-8.744
1.927	8.706
1.950	8.765
1.973	8.736
1.995	8.745
2.018	8.731
2.041	8.745
2.063	8.746
2.086	8.745
2.109	8.731
2.132	8.765
2.154	8.731
2.177	8.770
2.200	8.716
2.222	8.770
2.245	8.721
2.268	8.765
2.290	8.731
2.313	8.755
2.336	8.721
2.358	8.760
2.381	8.721
2.404	-8.624
2.426	-8.773
2.449	-8.794
2.472	-8.778
2.494	-8.769
2.517	-8.803
2.540	-8.744
2.562	-8.793
2.585	-8.759
2.608	-8.798
2.630	-8.759
2.653	-8.793
2.676	-8.764
2.698	-8.788
2.721	-8.769
2.744	-8.778
2.766	-8.764
2.789	-8.778
2.812	-8.754
2.834	-8.793
2.857	-8.754
2.880	10.074
2.902	8.760
2.925	8.731
2.948	8.765
2.971	8.726
2.993	8.760
3.016	8.741
3.039	8.760
3.061	8.746
3.084	8.740
3.107	8.746
3.129	8.755
3.152	8.731
3.175	8.765
3.197	8.721
3.220	8.760
3.243	8.716
3.265	8.770
3.288	8.716
3.311	8.760
3.333	8.731
3.356	8.735
3.379	-8.728
3.401	-8.774
3.424	-8.783
3.447	-8.774
3.469	-8.778
3.492	-8.769
3.515	-8.803
3.537	-8.754
3.560	-8.808
3.583	-8.744
3.605	-8.808
3.628	-8.759
3.651	-8.788
3.673	-8.759
3.696	-8.778
3.719	-8.769
3.741	-8.783
3.764	-8.754
3.787	-8.778
3.810	-8.769
3.832	-8.768
3.855	8.705
3.878	8.731
3.900	8.765
3.923	8.711
3.946	8.785
3.968	8.711
3.991	8.760
4.014	8.736
4.036	8.760
4.059	8.736
4.082	8.755
4.104	8.741
4.127	8.745
4.150	8.736
4.172	8.745
4.195	8.721
4.218	8.755
4.240	8.721
4.263	8.755
4.286	8.726
4.308	8.760
4.331	-6.766
4.354	-8.734
4.376	-8.803
4.399	-8.774
4.422	-8.778
4.444	-8.784
4.467	-8.783
4.490	-8.774
4.512	-8.793
4.535	-8.764
4.558	-8.798
4.580	-8.749
4.603	-8.808
4.626	-8.744
4.649	-8.798
4.671	-8.754
4.694	-8.788
4.717	-8.769
4.739	-8.788
4.762	-8.769
4.785	-8.773
4.807	-8.769
4.830	8.721
4.853	8.760
4.875	8.731
4.898	8.770
4.921	8.721
4.943	8.770
4.966	8.721
4.989	8.775
5.011	8.731
5.034	8.750
5.057	8.736
5.079	8.750
5.102	8.736
5.125	8.745
5.147	8.731
5.170	8.750
5.193	8.726
5.215	8.760
5.238	8.716
5.261	8.755
5.283	8.726
5.306	-8.594
5.329	-8.803
5.351	-8.749
5.374	-8.808
5.397	-8.759
5.420	-8.778
5.442	-8.779
5.465	-8.778
5.488	-8.769
5.510	-8.788
5.533	-8.764
5.556	-8.778
5.578	-8.749
5.601	-8.798
5.624	-8.744
5.646	-8.783
5.669	-8.754
5.692	-8.783
5.714	-8.759
5.737	-8.783
5.760	-8.759
5.782	9.584
5.805	8.745
5.828	8.741
5.850	8.755
5.873	8.741
5.896	8.765
5.918	8.721
5.941	8.770
5.964	8.721
5.986	8.765
6.009	8.721
6.032	8.760
6.054	8.736
6.077	8.750
6.100	8.746
6.122	8.740
6.145	8.736
6.168	8.755
6.190	8.731
6.213	8.760
6.236	8.716
6.259	8.750
6.281	-8.763
6.304	-8.744
6.327	-8.803
6.349	-8.769
6.372	-8.793
6.395	-8.764
6.417	-8.788
6.440	-8.774
6.463	-8.783
6.485	-8.779
6.508	-8.778
6.531	-8.764
6.553	-8.798
6.576	-8.754
6.599	-8.798
6.621	-8.744
6.644	-8.803
6.667	-8.749
6.689	-8.778
6.712	-8.764
6.735	-8.783
6.757	8.735
6.780	8.726
6.803	8.760
6.825	8.741
6.848	8.740
6.871	8.751
6.893	8.745
6.916	8.726
6.939	8.770
