entrada[kHz]	máximo[kHz]	salida[kHz]	altura[V]	área[VkHz]
0,172	0,345	0,517	0,15	0,01459
0,861	1,034	1,206	5,58	0,48162
1,550	1,723	1,895	0,16	0,01498
2,239	2,412	2,584	0,15	0,01429
2,929	3,101	3,273	1,86	0,16142
3,618	3,790	3,962	0,16	0,01543
4,307	4,479	4,651	0,15	0,01396
4,996	5,168	5,340	1,12	0,09748
5,685	5,857	6,029	0,17	0,01598
6,374	6,546	6,718	0,14	0,01367
7,063	7,235	7,407	0,80	0,07005
7,752	7,924	8,096	0,18	0,01659
8,441	8,613	8,786	0,14	0,01348
9,130	9,302	9,475	0,62	0,05492
9,819	9,991	10,164	0,19	0,01729
10,508	10,680	10,853	0,14	0,01332
11,197	11,370	11,542	0,51	0,04526
11,886	12,059	12,231	0,20	0,01813
12,575	12,748	12,920	0,14	0,01319
13,264	13,437	13,609	0,43	0,03866
13,954	14,126	14,298	0,21	0,01914
14,643	14,815	14,987	0,14	0,01304
15,332	15,504	15,676	0,38	0,03374
16,021	16,193	16,365	0,22	0,02020
16,710	16,882	17,054	0,14	0,01297
17,399	17,571	17,743	0,33	0,03002
18,088	18,260	18,432	0,23	0,02154
18,777	18,949	19,121	0,13	0,01302
19,466	19,638	19,811	0,30	0,02723
20,155	20,327	20,500	0,25	0,02307
20,844	21,016	21,189	0,13	0,01291
21,533	21,705	21,964	0,27	0,02543


QUEDARSE SOLO CON LAS FILAS CON ALTURA MAYOR A 0.2 V, LAS DE MENOS DE 0.2 V SON RUIDO
